Stock,Period,Quarterly Gross Profit Score,Quarterly Gross Profit Changed %,Annual Gross Profit Score,Annual Gross Profit Changed %,Quarterly Revenue Score,Quarterly Revenue Changed %,Annual Revenue Score,Annual Revenue Changed %,Quarterly EPS Score,Quarterly EPS Changed %,Annual EPS Score,Annual EPS Changed %
SPGI,1,0,-83.14,2,93.59,2,122.85,2,57.3,0.0,-100.0,2.0,9.6
SPGI,2,0,-158.0,1,486.32,0,-156.77,1,118.94,0.0,-269.43,0.0,-66.66
SPH,1,2,737.44,0,-76.99,2,524.47,0,-120.84,2.0,221.16,0.0,-4.69
SPH,2,0,-13.78,0,-125.31,0,-59.22,0,-143.32,0.0,-32.97,0.0,-111.29
SPOT,1,2,741.63,0,-37.59,2,114.73,0,-42.35,0.0,-69.55,0.0,-126.72
SPOT,2,1,41.22,0,-54.06,1,104.95,1,0.14,0.0,-92.09,0.0,-1.94
SPR,1,0,-26.29,0,-15739.08,0,-65.25,0,-738.51,0.0,-31.17,0.0,-111.9
SPR,2,0,-97.71,0,-102.39,1,162.46,1,159.65,0.0,-83.58,1.0,570.29
SPXC,1,2,731.6,2,2.51,2,1043.73,2,361.82,2.0,139.34,2.0,359.14
SPXC,2,0,-5455.56,0,-66.98,0,-348.11,0,-90.97,0.0,-184.72,0.0,-27.56
SQ,1,0,-96.35,2,0.04,0,-92.86,2,136.54,2.0,144.29,0.0,-104.57
SQ,2,1,208.09,0,-18.7,1,46.95,0,-12.34,1.0,480.95,1.0,2224.95
SQM,1,0,-154.82,0,-1315.95,0,-107.2,0,-382.7,0.0,-905.61,0.0,-1591.02
SQM,2,1,185.48,0,-90.7,1,199.82,0,-55.25,1.0,136.75,0.0,-95.44
SQNS,1,2,5791.18,2,504.84,0,-23.54,2,378.6,0.0,-3.3,0.0,-3895.38
SQNS,2,0,-98.91,0,-11.11,0,-60.79,0,-40.48,0.0,-77.29,0.0,-95.35
SR,1,2,620.22,2,175.35,2,580.23,0,-676.56,2.0,702.46,0.0,-215.82
SR,2,0,-48.08,1,239.45,0,-60.9,0,-104.97,0.0,-56.88,0.0,-171.3
SRC,1,2,512.33,0,-136.01,2,416.23,0,-130.27,0.0,-72.73,0.0,-403.47
SRC,2,0,-1.35,1,1010.73,0,-30.12,1,16415.38,1.0,660.03,0.0,-60.21
SRE,1,2,282.66,0,-48.61,2,326.77,0,-30.56,2.0,121.62,0.0,-32.24
SRE,2,0,-20.45,1,532.88,1,128.12,1,50.31,0.0,-141.88,0.0,-52.58
SRG,1,2,625.35,0,-129.64,2,270.77,0,-111.85,0.0,-4465.24,0.0,-4150.0
